,precision,recall,f1-score,support
No DR,0.9565217391304348,0.974169741697417,0.9652650822669104,271.0
Mild,0.5138888888888888,0.6607142857142857,0.578125,56.0
Moderate,0.813953488372093,0.7,0.7526881720430108,150.0
Severe,0.36666666666666664,0.3793103448275862,0.3728813559322034,29.0
Proliferative,0.5813953488372093,0.5681818181818182,0.5747126436781609,44.0
accuracy,0.8036363636363636,0.8036363636363636,0.8036363636363636,0.8036363636363636
macro avg,0.6464852263790586,0.6564752380842215,0.6487344507840571,550.0
weighted avg,0.8114598564002,0.8036363636363636,0.8053926886266497,550.0
