stage,epoch,train_accuracy,train_balanced_accuracy,train_macro_f1,train_qwk,train_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_qwk,val_loss,lr
head,1,0.630901287553648,0.4153623806450339,0.415819147263234,0.6334288280111527,1.368137723200497,0.7158469945355191,0.532007310668718,0.49146006580596807,0.7563411630832685,1.2178523766321345,0.0009045084971874737
head,2,0.6738197424892703,0.5027766246886346,0.4917703762224851,0.7155071953115337,1.2257873112458622,0.726775956284153,0.5947489271130956,0.5728751854342506,0.7636346023442798,1.1798572512055139,0.0006545084971874737
head,3,0.7007413187670698,0.5319895201776416,0.5231860902131652,0.747372189591784,1.1745928017552645,0.7231329690346083,0.5307528215094063,0.5353067647766163,0.7677327468439054,1.163948366767939,0.00034549150281252633
head,4,0.7062036675770581,0.5506117688112504,0.537858300750693,0.7420135209352772,1.1588345700021,0.6903460837887068,0.5752570494356981,0.5258043108691149,0.7757575757575758,1.185342096565851,9.549150281252633e-05
head,5,0.7163480296527507,0.5941430275244459,0.5672075292189583,0.7552661102616833,1.147479972149123,0.7176684881602914,0.5600807412462838,0.5508876730333138,0.7436344130471156,1.21401190019479,0.0
finetune,1,0.7276628950448693,0.5791302329924285,0.5665432227412851,0.7798664243928382,1.1110376991706576,0.7413479052823315,0.5814248092324183,0.5729747155538572,0.7820744346733668,1.1217760201577498,1.992508966248754e-05
finetune,2,0.760827155676941,0.6186641813566218,0.6090083532937033,0.8026013714532557,1.0494958473470497,0.7486338797814208,0.6200413191592731,0.593938673938674,0.8061256209042523,1.0957890614351506,1.9701540030721997e-05
finetune,3,0.7908700741318767,0.6629997773074152,0.6510220249438271,0.8509140051600957,0.995900311950962,0.7668488160291439,0.6193642031718123,0.6186306797287051,0.8166180516106796,1.090186167501578,1.9332876615938392e-05
finetune,4,0.7936012485368709,0.6723304512876875,0.6595710195415514,0.8581643500388486,0.9621050042004684,0.7686703096539163,0.6338132386339537,0.6225797214554765,0.8200349446709376,1.0754810795323662,1.8824913460416707e-05
finetune,5,0.8092079594225517,0.6944383919794388,0.6867297495819595,0.8584027079623099,0.9490829092936268,0.7704918032786885,0.6559574392609129,0.6355359481685767,0.8314138298574757,1.0366014415883409,1.8185661446562005e-05
finetune,6,0.8216933281310964,0.7166417914437606,0.7023283692572637,0.885285638032079,0.9152234196662903,0.7868852459016393,0.6584906399534215,0.6504739447241519,0.8380721011585535,1.0361624412197885,1.7425201960503412e-05
finetune,7,0.8380803745610612,0.7328611232813944,0.7260420131252504,0.8859194495225335,0.8708744617909414,0.7814207650273224,0.6597881602640477,0.6477335660729162,0.8318286834799153,1.0389273809387818,1.6555527902612554e-05
finetune,8,0.8349590323839251,0.7348282608780299,0.7258094994567689,0.894108922563779,0.858394859918988,0.7832422586520947,0.6376779681276437,0.6404459154119387,0.8395435307147661,1.0741923236456075,1.5590354552300467e-05
finetune,9,0.8435427233710495,0.7459007403820379,0.7357456125926689,0.8975423624708245,0.8393598869588289,0.7650273224043715,0.6585369022969226,0.630249538239987,0.8455858490012023,1.0238131039346718,1.454490326986819e-05
finetune,10,0.8536870854467421,0.7757584082335705,0.7591098674241026,0.9080807038454455,0.8153314002082072,0.7759562841530054,0.6611500884914806,0.6395908449192034,0.853552773607613,1.0189238268820966,1.3435661446562e-05
finetune,11,0.8587592664845883,0.7885417050518138,0.7748887683825239,0.9048566448307976,0.799903451884765,0.7650273224043715,0.6422893497900496,0.6268291516253564,0.8348081327872174,1.0455521348395633,1.2280122488564385e-05
finetune,12,0.8689036285602809,0.7886599885116466,0.775729390334639,0.9122655153674012,0.7741272170423671,0.7887067395264117,0.6698221687546029,0.659507223607414,0.8509887333624365,1.0326893259050198,1.1096509935528479e-05
finetune,13,0.870074131876707,0.8099459847381763,0.7959867327463465,0.91512854199941,0.7578509099028606,0.7868852459016393,0.6542786151372486,0.6514319060299755,0.8471225778998714,1.0452843557072902,9.903490064471525e-06
finetune,14,0.8739758095981272,0.8032485657634817,0.7910725058829275,0.918251646879248,0.7505818180771856,0.7795992714025501,0.6545085001947198,0.642355614326034,0.8539595189602739,1.0374086567612946,8.719877511435618e-06
finetune,15,0.8876316816230979,0.8325738353875982,0.816244250857227,0.9327949844355028,0.7164240354120476,0.785063752276867,0.6417385741882498,0.6412451395262205,0.8553285900084155,1.0629632311223418,7.564338553438003e-06
finetune,16,0.889192352711666,0.8308225379445371,0.8174983425765878,0.9275388421718286,0.7205763627345144,0.7923497267759563,0.64702384064593,0.6510595911951005,0.8571629644794758,1.0819562686597064,6.45509673013181e-06
finetune,17,0.8829496683573936,0.82956153664735,0.8129220408315225,0.926904811643395,0.7246843804803343,0.7795992714025501,0.6401699422009894,0.6332147599706642,0.8545125516217345,1.0688676714680017,5.40964544769953e-06
finetune,18,0.8876316816230979,0.8298987961164628,0.8150128660728864,0.9261147740367013,0.6996892467170222,0.7723132969034608,0.6338794510829121,0.630596811645405,0.8489044140997142,1.0938663880030315,4.4444720973874476e-06
finetune,19,0.8981662114709325,0.84825856601858,0.8369566405847882,0.9300573081579968,0.7106689104938991,0.7832422586520947,0.6646315168480837,0.6501161300079259,0.8578859784283513,1.057758182124362,3.574798039496593e-06
finetune,20,0.8915333593445182,0.8384112852995843,0.823846613488968,0.9304465395170813,0.7082462123349176,0.7741347905282332,0.6655173339194207,0.6424024044181686,0.8457833548625208,1.0591310642673235,2.8143385534380006e-06
finetune,21,0.9005072181037846,0.8349824039236082,0.8323364235083505,0.9350024691611206,0.6987954770221033,0.785063752276867,0.649918587837916,0.643725809232603,0.8550533621771893,1.0606688066692735,2.1750865395832962e-06
finetune,22,0.9055793991416309,0.8512019759942872,0.8449800166526428,0.9444782277467917,0.6847986437778569,0.7741347905282332,0.6283305764092123,0.6274519894780879,0.8435806282417391,1.1154616662930488,1.6671233840616123e-06
finetune,23,0.8934841982052283,0.8436204193970184,0.8307583789338786,0.9273082328861473,0.7004331509396289,0.7650273224043715,0.644640446968733,0.6286238286636656,0.8361081914807604,1.0902956969533897,1.2984599692780058e-06
finetune,24,0.8915333593445182,0.8421659039613874,0.8282950174535738,0.9336979687645753,0.6914779321318533,0.7832422586520947,0.6581592075481885,0.6465367054973765,0.8560188827694728,1.0695531015404804,1.0749103375124613e-06
finetune,25,0.9063597346859149,0.8630348799480047,0.8484288546622709,0.9414365310464988,0.672625444826557,0.7887067395264117,0.6715298731043736,0.6560738222022626,0.8555599065088902,1.0518860742042624,1e-06
